Parameter,MMG original,MMG quadratic
$A_{R}$,0.03476308390575934,0.03476308390575934
$C_{R}$,0.16080882351952341,0.16080882351952341
$D$,0.15588235293159106,0.15588235293159106
$H_{R}$,0.2161764705749423,0.2161764705749423
$\epsilon$,1.16,1.16
$\gamma_{0}$,-0.020943951023931952,-0.020943951023931952
$\gamma_{R neg}$,0.531334659379897,0.16941169605972306
$\gamma_{R pos}$,0.6323977901291796,0.4207650324933187
$\gamma_{R2 neg}$,1.0,1.067825113594481
$\gamma_{R2 pos}$,0.6,0.8649419743018243
$\kappa$,0.4,0.4
$\rho$,1026.0,1026.0
$l_{R}$,-3.4423706040831736,-3.1591423342646063
$r_{0}$,0.07794117646579553,0.07794117646579553
$t_{R}$,0.387,0.387
$w_{p}$,0.35,0.35
$x_{r}$,-2.389705882205995,-2.389705882205995
